Project Name,項目名稱,项目名称,Grantee,獲資助者,获资助者,Project Type,項目類型,项目类型,Innovative Programme,創新計劃,创新计划,Stage of Innovation Development,階段,阶段,Project Nature,項目性質,项目性质,Major Beneficiaries,主要受惠者,主要受惠者,Brief Description,簡介,简介,Impact / Expected Impact,效益/預期效益,效益/预期效益,Approved Funding Amount (HK$),獲批資助額 （港幣）,获批资助额 （港币）,Funding Period (months),資助期(月),资助期(月),Status,狀況,状况,Project Website,項目網頁,项目网页
MicroForests,微型森林,微型森林,Micro Forests International Limited,微型森林國際有限公司,微型森林国际有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Low-income families,低收入家庭,低收入家庭,"A programme that empowers women by grooming them to be professionals in creating miniature forests, enabling them to undergo a transformation in life",透過培育婦女成為微型森林創作專才為婦女充權並讓她們的生命得以轉化,透过培育妇女成为微型森林创作专才为妇女充权并让她们的生命得以转化,"‧Trained 40 disadvantaged women with job opportunities as workshop facilitators or project assistants offered to them‧Engaged over 2 600 volunteers/participants in training, workshops and two mega events",‧40名弱勢社群婦女接受培訓並獲工作機會成為工作坊或項目助理‧超過 2 600 名義工/ 參加者支持培訓、工作坊及兩項大型活動,‧40名弱势社群妇女接受培训并获工作机会成为工作坊或项目助理‧超过 2 600 名义工/ 参加者支持培训、工作坊及两项大型活动,499950,499950,499950,15.00,15.00,15.00,Completed,已完成,已完成,www.microforests.com,www.microforests.com,www.microforests.com
STICKu,智能枴杖,智能拐杖,BNET-Tech Company Limited,BNET-Tech Company Limited,BNET-Tech Company Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Transport,行,行,Elderly,長者,长者,To develop a multi-functional walking stick that enhances the safety and mobility of elderly,開發多功能手杖以提升長者的安全和活動能力,开发多功能手杖以提升长者的安全和活动能力,To produce 200 sticks for trial by the elderly,生產200支枴杖予長者試用,生产200支拐杖予长者试用,499950,499950,499950,31.00,31.00,31.00,Active,推展中,推展中,www.bnet-tech.com,www.bnet-tech.com,www.bnet-tech.com
Support Ethnic Minorities through Contact Centre industry training and employment,支持少數族裔人士 - 提供客戶中心行業培訓及就業機會,支持少数族裔人士 - 提供客户中心行业培训及就业机会,Call Centre Association Limited,客戶中心協會有限公司,客户中心协会有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,People of diverse race,不同種族人士,不同种族人士,Job specific training for people of diverse race to develop a career in contact centres ,提供專業培訓協助不同種族人士投身客戶中心行業 ,提供专业培训协助不同种族人士投身客户中心行业 ,"‧  Trained about 120 people of diverse race, 24 of whom were employed in contact centres‧Engaged 12 employers that have contact centre operations",已培訓約120位不同種族人士，其中24人獲僱主錄用‧共有12間機構的客戶中心參與計劃,已培训约120位不同种族人士，其中24人获雇主录用‧共有12间机构的客户中心参与计划,499943,499943,499943,18.00,18.00,18.00,Completed,已完成,已完成,www.hkcca.com,www.hkcca.com,www.hkcca.com
AR Training Play,AR兒童訓練遊戲,AR儿童训练游戏,AESIR Limited,愛識有限公司,爱识有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Education and learning,教育與學習,教育与学习,Children and youth,兒童及青少年,儿童及青少年,Development of motion sensor EduTech games by making use of augmented reality and virtual reality to address the needs of students with dyslexia,針對讀寫障礙學生的需要，開發運用擴增實境(AR)及虛擬實境(VR)的「教育科技」體感遊戲,针对读写障碍学生的需要，开发运用扩增实境(AR)及虚拟实境(VR)的「教育科技」体感游戏,"‧ Developed three motion sensor games to assist SEN students to learn Chinese‧ Promoted the games to around 200 SEN students‧ Sold the games to eight schools/NGOs‧ Held three sharing sessions for over 100 teachers, therapists, researchers and parents‧ Recruited and trained eight volunteers to promote the games to students and members of the public",‧ 開發三款體感遊戲，協助有特殊教育需要的學生學習中文‧ 推廣遊戲至約200名有特殊教育需要的學生‧ 獲八間學校/非政府組織訂購有關遊戲服務‧ 舉辦三場分享會，共有超過100名教師、治療師、研究人員及家長參與‧ 招募及培訓八名義工向學生及公眾人士推廣遊戲,‧ 开发三款体感游戏，协助有特殊教育需要的学生学习中文‧ 推广游戏至约200名有特殊教育需要的学生‧ 获八间学校/非政府组织订购有关游戏服务‧ 举办三场分享会，共有超过100名教师、治疗师、研究人员及家长参与‧ 招募及培训八名义工向学生及公众人士推广游戏,499800,499800,499800,18.00,18.00,18.00,Completed,已完成,已完成,www.aesir.hk,www.aesir.hk,www.aesir.hk
GoHarvest Travel,樂土遊 - 可持續發展旅遊學堂,乐土游 - 可持续发展旅游学堂,GoHarvest Travel Limited,樂土遊有限公司,乐土游有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Transport,行,行,Low-income families,低收入家庭,低收入家庭,Providing study tours for free or at a discounted price for students from low-income families,為來自低收入家庭的學生提供免費或價格相宜的遊學團,为来自低收入家庭的学生提供免费或价格相宜的游学团,To benefit 464 children from low-income families and their family members,讓464名低收入家庭兒童及其家長受惠,让464名低收入家庭儿童及其家长受惠,499715,499715,499715,36.00,36.00,36.00,Active,推展中,推展中,www.goharvest-travel.com.hk,www.goharvest-travel.com.hk,www.goharvest-travel.com.hk
Eldpathy VR-erly Simulation Program,「飛越老人院」歷耆體驗計劃,「飞越老人院」历耆体验计划,ELDPATHY CO. LTD,歷耆者有限公司,历耆者有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Education and learning,教育與學習,教育与学习,Elderly,長者,长者,Using virtual reality videos in experiential activities to enhance participants’ understanding of the life of elderly living in residential care homes,在體驗活動中利用虛擬實境短片讓參加者加深了解安老院舍長者的生活,在体验活动中利用虚拟实境短片让参加者加深了解安老院舍长者的生活,•To provide training to 35 elderly and hire 5 of them as project assistants•To benefit over 2700 young people,•為35名長者提供培訓及聘請其中5名為項目助理•讓超過2700 名年青人受惠,•为35名长者提供培训及聘请其中5名为项目助理•让超过2700 名年青人受惠,499550,499550,499550,36.00,36.00,36.00,Active,推展中,推展中,www.eldpathy.hk,www.eldpathy.hk,www.eldpathy.hk
DKHK Food and Beverage Hiring and Training Programme,廚尊,厨尊,PROJECT DIGNITY (HONG KONG) COMPANY LIMITED,PROJECT DIGNITY (HONG KONG) COMPANY LIMITED,PROJECT DIGNITY (HONG KONG) COMPANY LIMITED,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Prototype,原型,原型,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Persons with disabilities,殘疾人士,残疾人士,Training and hiring the disabled and persons vulnerable to social exclusion to form a crew to work at a cooked-food centre,培訓及聘請殘疾人士及易被社會孤立人士組成團隊於熟食中心工作,培训及聘请残疾人士及易被社会孤立人士组成团队于熟食中心工作,To train and hire 20 PWDs and persons of disadvantaged groups,培訓及聘請20名殘疾人士及弱勢社群人士,培训及聘请20名残疾人士及弱势社群人士,499500,499500,499500,12.00,12.00,12.00,Active,推展中,推展中,www.projectdignity.sg,www.projectdignity.sg,www.projectdignity.sg
Bling,亮點,亮点,2Bliss Studio Limited,2Bliss Studio Limited,2Bliss Studio Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Empowering underprivileged young people through training and job opportunities in mural painting,提供粉飾牆壁的訓練和相關工作機會幫助弱勢青少年自強 ,提供粉饰墙壁的训练和相关工作机会帮助弱势青少年自强 ,To benefit 96 disadvantaged youths and 64 grassroots elderly households,讓96名弱勢青少年及64戶基層長者家庭受惠,让96名弱势青少年及64户基层长者家庭受惠,499450,499450,499450,24.00,24.00,24.00,Active,推展中,推展中,www.2blissstudio.com,www.2blissstudio.com,www.2blissstudio.com
SEN Youth: From Empowerment to Employment,特殊教育需要青年：從能力提升到就業,特殊教育需要青年：从能力提升到就业,GENERATION: YOU EMPLOYED (HK) LIMITED,Generation: You Employed (HK) Limited,Generation: You Employed (HK) Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Developing a curriculum for both employers and employees to enhance employment opportunities for young people with special education needs,開發一套涵蓋僱主和僱員需要的培訓課程，以提升有特殊教育需要青年的就業機會,开发一套涵盖雇主和雇员需要的培训课程，以提升有特殊教育需要青年的就业机会,To provide training and employment opportunities to 30 SEN youths,提供培訓及工作機會予30名特殊教育需要青年,提供培训及工作机会予30名特殊教育需要青年,499200,499200,499200,24.00,24.00,24.00,Active,推展中,推展中,https://hongkong.generation.org/,https://hongkong.generation.org/,https://hongkong.generation.org/
WEDO GLOBAL Multicultural Programme (Sham Shui Po & Yau Tsim Mong Districts),愛同行 (深油尖旺) 多元文化計劃,爱同行 (深油尖旺) 多元文化计划,WEDO GLOBAL LIMITED,愛同行有限公司,爱同行有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Community participation,社區參與,社区参与,People of diverse race,不同種族人士,不同种族人士,To enhance the confidence and capabilities of youngsters of diverse race for effective social integration through the design and delivery of district-based programmes,透過設計及推展本地文化導賞團和工作坊，提升不同種族青年的能力和自信以促進社會共融,透过设计及推展本地文化导赏团和工作坊，提升不同种族青年的能力和自信以促进社会共融,Provided job opportunities to 45 people of diverse raceOrganised 168 tours/ workshops for over 3 800 participants,為45位不同種族人士提供工作機會舉辦了168場文化導賞團和工作坊，共有超過3 800位參加者,为45位不同种族人士提供工作机会举办了168场文化导赏团和工作坊，共有超过3 800位参加者,498292,498292,498292,36.00,36.00,36.00,Completed,已完成,已完成,www.wedoglobal.com,www.wedoglobal.com,www.wedoglobal.com
Barrier Free Travel Total Solution,無障礙旅遊App,无障碍旅游App,Free Guider Limited,Free Guider Limited,Free Guider Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Transport,行,行,Persons with disabilities,殘疾人士,残疾人士,A mobile app providing barrier-free information to help persons with disabilities travel with ease,提供無障礙設施資訊讓殘疾人士出門更方便的流動應用程式,提供无障碍设施资讯让残疾人士出门更方便的流动应用程式,10 000 PWDs will be more willing and confident to explore new locations with the mobile app,透過利用此流動應用程式，10 000名殘疾人士更願意及有信心外出,透过利用此流动应用程式，10 000名残疾人士更愿意及有信心外出,494284,494284,494284,36.00,36.00,36.00,Active,推展中,推展中,www.freeguider.com,www.freeguider.com,www.freeguider.com
U-Fit Project,U-Fit Project,U-Fit Project,Elite Thai Boxing and Fitness Limited,精英社有限公司,精英社有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,A youth development project that combines Thai boxing training and personal growth programmes,結合泰拳訓練和個人成長課程的青少年培訓計劃,结合泰拳训练和个人成长课程的青少年培训计划,"To train 440 young people, 200 of whom from underprivileged groups",培訓共440 名青少年，當中包括200名弱勢青少年,培训共440 名青少年，当中包括200名弱势青少年,494140,494140,494140,24.00,24.00,24.00,Active,推展中,推展中,eliteboxinghk.com,eliteboxinghk.com,eliteboxinghk.com
Alchemist -- Social Innovation Industry,Alchemist -- 社會創新工業,Alchemist -- 社会创新工业,Alchemist Creations Company Limited,Alchemist Creations Company Limited,Alchemist Creations Company Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Persons with disabilities,殘疾人士,残疾人士,Unleashing talents and capabilities of persons with disabilities through design and production of light industry products,讓殘疾人士發揮天賦與才能設計及生產輕工業產品,让残疾人士发挥天赋与才能设计及生产轻工业产品,‧Cooperated with three sheltered workshops and engaged 25 PWDs to set up new production lines‧Employed four PWDs or underprivileged youth as product designers/storekeepers‧Produced 8 new designs of watch‧Participated in local and overseas trade shows and collaborated with well-known brands to promote the products,‧已與3家庇護工場合作及設立新的生產線，提供工作機會予約25名殘疾人士‧聘用了4位殘疾人士或弱勢青年從事產品設計/銷售工作‧設計了8款新手錶‧參加展覽並與知名品牌合作以推廣產品,‧已与3家庇护工场合作及设立新的生产线，提供工作机会予约25名残疾人士‧聘用了4位残疾人士或弱势青年从事产品设计/销售工作‧设计了8款新手表‧参加展览并与知名品牌合作以推广产品,490000,490000,490000,12.00,12.00,12.00,Completed,已完成,已完成,www.alchemisthk.com ,www.alchemisthk.com ,www.alchemisthk.com 
Summer Production ,Summer Production ,Summer Production ,Summer Production Limited ,Summer Production Limited ,Summer Production Limited ,Innovative Project/Venture,創新計劃,创新计划,Innovator Farm programme run by the Fullness Social Enterprises Society Ltd,由豐盛社企學會有限公司推展的「創新園」計劃,由丰盛社企学会有限公司推展的「创新园」计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Providing training and internship opportunities in film production for disadvantaged youths,為弱勢青年提供影片製作的培訓及實習機會,为弱势青年提供影片制作的培训及实习机会,1. Short-term courses completed by 140 trainees2. Long-term courses completed by 24 trainees 3. 460 hours of internship completed by each of the 24 trainees,1. 140人完成「初夏」短期課程2. 24人完成「炎夏」長期課程3. 24位學員各完成460小時實習,1. 140人完成「初夏」短期课程2. 24人完成「炎夏」长期课程3. 24位学员各完成460小时实习,490000,490000,490000,18.00,18.00,18.00,Active,推展中,推展中,http://www.summer-pro.com,http://www.summer-pro.com,http://www.summer-pro.com
UP Poverty Youth Engagement,陸續創作實踐計劃,陆续创作实践计划,Under Production Limited,陸續出版有限公司,陆续出版有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Children and youth,兒童及青少年,儿童及青少年,Training programmes with job opportunities to help young people from underprivileged groups develop a career in the creative industry,幫助弱勢青年在創意工業發展事業的培訓及就業計劃,帮助弱势青年在创意工业发展事业的培训及就业计划,"Trained around 220 underprivileged youngsters in creative production including video production, photography, music production, graphic design, creative writing and marketing and offered them over 420 intern jobsProvided over 210 freelance job opportunities to around 150 trainees Assisted 31 trainees in forming music and video production teams, and selected seven trainees to join a 1.5-year advance training in creative production ",培訓約220名弱勢青年投身創意工業，包括短片製作、攝影、音樂製作、平面設計、創意寫作和推廣工作，及為他們提供逾420個實習機會為約150名青年提供逾210個自由創意工作機會協助31名青年組成音樂及短片製作小組，及挑選七名學員參加一個為期一年半的創意工業深造培訓,培训约220名弱势青年投身创意工业，包括短片制作、摄影、音乐制作、平面设计、创意写作和推广工作，及为他们提供逾420个实习机会为约150名青年提供逾210个自由创意工作机会协助31名青年组成音乐及短片制作小组，及挑选七名学员参加一个为期一年半的创意工业深造培训,490000,490000,490000,24.00,24.00,24.00,Completed,已完成,已完成,www.underproductionhk.com,www.underproductionhk.com,www.underproductionhk.com
Deployment of Stroke Rehab Robots in Communities,中風復康機械設備社區推動計劃,中风复康机械设备社区推动计划,Zunosaki Limited,頂尖頭腦有限公司,顶尖头脑有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Healthcare,醫,医,Elderly,長者,长者,Developing an upper limb robotic exo-skeleton system to strengthen the results of rehabilitation training of stroke patients,開發一套上肢外骨骼機械系統，以加強中風病人進行復康訓練的效果,开发一套上肢外骨骼机械系统，以加强中风病人进行复康训练的效果,"Completed the product trials with 114 stroke patients. Of which, eight of them were individual patients that directly recruited by the teamEngaged over 190 physiotherapists and occupational therapists from 51 NGOs/institutes for product demos and conducted product trials with 28 of them Produced 47 units of trial product and delivered five units of products to three customers, and generated revenue of over $680,000 Passed the product safety standard (IEC 60335-1:2010) in Aug 2019 and obtained the CE markExhibited the products in Gerontech and Innovation Expo cum Summit 2018 and 2019, and Golden Age Expo and Summit 2019",與114名中風病人完成產品測試，其中八名病人由項目團隊直接招募向來自51間非政府機構超過190名物理治療師和職業治療師作產品示範，及與其中28間機構進行產品測試生產47件試用版產品及售出五件予三名顧客，銷售額超過68萬元於2019年8月通過產品安全標準(IEC 60335-1:2010)及取得CE標誌於2018年及2019年樂齡科技博覽暨高峰會，及2019年黃金時代展覽暨高峰會展示產品,与114名中风病人完成产品测试，其中八名病人由项目团队直接招募向来自51间非政府机构超过190名物理治疗师和职业治疗师作产品示范，及与其中28间机构进行产品测试生产47件试用版产品及售出五件予三名顾客，销售额超过68万元于2019年8月通过产品安全标准(IEC 60335-1:2010)及取得CE标志于2018年及2019年乐龄科技博览暨高峰会，及2019年黄金时代展览暨高峰会展示产品,489000,489000,489000,21.00,21.00,21.00,Completed,已完成,已完成,www.zunosaki.com,www.zunosaki.com,www.zunosaki.com
O-I-C,O-I-C,O-I-C,Sweet Home Psychological Wellness Centre Limited,開心大本營心靈健康中心有限公司,开心大本营心灵健康中心有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Healthcare,醫,医,Children and youth,兒童及青少年,儿童及青少年,Psycho-education and psychotherapy services for underprivileged children with emotional problems or special educational needs,為受情緒問題困擾或有特殊教育需要的弱勢兒童提供精神健康教育及心理治療服務,为受情绪问题困扰或有特殊教育需要的弱势儿童提供精神健康教育及心理治疗服务,"‧To benefit 122 children‧To hold 380 workshops and talks for about 2 800 parents, caregivers and teachers",‧122名弱勢兒童受惠‧舉辦380場工作坊及講座予約2 800名家長、照顧者及教師,‧122名弱势儿童受惠‧举办380场工作坊及讲座予约2 800名家长、照顾者及教师,483000,483000,483000,18.00,18.00,18.00,Active,推展中,推展中,,,
Eldpathy - Elderly Poverty Simulation Education Program,歷耆者 「耆歷無窮」消貧社區教育計劃,历耆者 「耆历无穷」消贫社区教育计划,Eldpathy Co. Limited,歷耆者有限公司,历耆者有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Scale-up,擴大規模,扩大规模,Education and learning,教育與學習,教育与学习,Elderly,長者,长者,To understand and serve the elderly through experiential learning programmes and training workshops,透過體驗活動和工作坊了解長者需要從而提供服務,透过体验活动和工作坊了解长者需要从而提供服务,‧Recruited and trained 40 elderly as tutors of training workshops to enhance their social engagement; one of them was successfully referred for a full-time job‧Organised 422 grassroots elderly experiential learning workshops for about 13 000 youngsters‧Held 80 corporate training sessions for about 2 000 participants to enhance understanding of elderly's needs,‧已招募及培訓40名長者擔任工作坊導師，加強長者的社會參與；並成功轉介其中一名長者導師獲得全職工作‧已舉辦422場貧窮長者體驗活動予接近 13 000 名青少年‧已舉辦80場企業體驗培訓活動予接近 2 000 名企業員工，加強他們對長者需要的認知,‧已招募及培训40名长者担任工作坊导师，加强长者的社会参与；并成功转介其中一名长者导师获得全职工作‧已举办422场贫穷长者体验活动予接近 13 000 名青少年‧已举办80场企业体验培训活动予接近 2 000 名企业员工，加强他们对长者需要的认知,450750,450750,450750,32.00,32.00,32.00,Completed,已完成,已完成,www.eldpathy.hk,www.eldpathy.hk,www.eldpathy.hk
Rubber Boy Academy,擦膠哥學院,擦胶哥学院,Rubber Boy Academy Limited,擦膠哥學院有限公司,擦胶哥学院有限公司,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Education and learning,教育與學習,教育与学习,Persons with disabilities,殘疾人士,残疾人士,To encourage social inclusion through 3D “edutainment” animation and to empower the hearing-impaired for gainful employment through the production process,透過寓教育於娛樂的3D動畫提高大眾的關注和在製作過程中提供工作實習機會予聽障人士,透过寓教育于娱乐的3D动画提高大众的关注和在制作过程中提供工作实习机会予听障人士,"•Completed two phases of animation classes for 16 hearing impaired (HI) persons and recruited four of them as part time animators•Produced 52 episodes of animation, and some of which have been published and reached over 1.6 million audience through social media platform and some offline channels including medical institutions under Hospital Authority, ViuTV and NowTV•Produced and published an e-book on learning sign language•Held one road show, and one mini-fest for graduates of first phase of animation class with around 300 participants•Completed the script writing and storyboard of animated microfilm ""Rubber Boy Sign Language Adventure""•Collaborated with Centre for Sign Linguistics and Deaf Studies of The Chinese University of Hong Kong to design and launch a website to support parents with HI children",完成兩期動畫設計課程，培訓16名聽障人士，其中四名獲聘為兼職動畫師 製作52集手語動畫短片，其中部分透過網上社交媒體及線下平台（包括醫管局轄下醫療機構、ViuTV及NowTV）播放的短片，其總瀏覽人數逾一百六十萬人次 製作及出版一本學習手語的電子書 舉辦了一次展覽；及為第一期動畫設計課程畢業生舉行作品展，約有300名參加者出席 完成長篇故事《Rubber Boy 手語大冒險》的故事劇本及分鏡 與香港中文大學手語及聾人研究中心合作，為他們設計及製作網站，為育有聽障小朋友的父母提供支援,完成两期动画设计课程，培训16名听障人士，其中四名获聘为兼职动画师 制作52集手语动画短片，其中部分透过网上社交媒体及线下平台（包括医管局辖下医疗机构、ViuTV及NowTV）播放的短片，其总浏览人数逾一百六十万人次 制作及出版一本学习手语的电子书 举办了一次展览；及为第一期动画设计课程毕业生举行作品展，约有300名参加者出席 完成长篇故事《Rubber Boy 手语大冒险》的故事剧本及分镜 与香港中文大学手语及聋人研究中心合作，为他们设计及制作网站，为育有听障小朋友的父母提供支援,450000,450000,450000,24.00,24.00,24.00,Completed,已完成,已完成,www.rubberboyacademy.com,www.rubberboyacademy.com,www.rubberboyacademy.com
OHH Dear Communications,老正工作室,老正工作室,Ohh Dear Communications Company Limited,老正工作室,老正工作室,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Job training and opportunities,工作培訓和就業機會,工作培训和就业机会,Elderly,長者,长者,Providing training and job opportunities for elderly people to become ambassadors for elderly-related products and services,培訓長者成為模特兒及產品代言人，並提供相關工作機會,培训长者成为模特儿及产品代言人，并提供相关工作机会,"•Recruited and trained 54 silver models and employed 35 of them•Completed nearly 140 modelling jobs, generating an income of over $864,000","•已招募及培訓54位銀髮模特兒，並聘請其中35位•完成接近 140次模特兒工作，為項目帶來超過 864,000元收入","•已招募及培训54位银发模特儿，并聘请其中35位•完成接近 140次模特儿工作，为项目带来超过 864,000元收入",445900,445900,445900,24.00,24.00,24.00,Completed,已完成,已完成,www.ohh-dear.com,www.ohh-dear.com,www.ohh-dear.com
Beyond Vision Projects,Beyond Vision Projects,Beyond Vision Projects,Beyond Vision Projects Limited,Beyond Vision Projects Limited,Beyond Vision Projects Limited,Innovative Project/Venture,創新計劃,创新计划,Impact Incubator programme run by the Hong Kong Council of Social Service,由香港社會服務聯會推展的Impact Incubator 計劃,由香港社会服务联会推展的Impact Incubator 计划,Start-up,初創,初创,Community participation,社區參與,社区参与,Persons with disabilities,殘疾人士,残疾人士,Making use of Tactile-Audio Inter-action System to provide activities and services that facilitate social integration of the visually impaired,利用「觸感–聽覺」互動系統提供活動及服務，以促進視障人士融入社會,利用「触感–听觉」互动系统提供活动及服务，以促进视障人士融入社会,"- Approached 33 museums/galleries/cultural institutions for the use of Tactile-Audio and exhibited 54 TAIS units- Maintained seven outlets selling their tactile printed merchandise, at nine locations - Held 71 corporate/social awareness/public workshops/school programmes - Organised 14 exhibitions/joint exhibitions and six talks, which attracted over 9 000 visitors - Held four Multisensory Marketing Events - Launched three “Beyond Vision Awareness Month” and “Hong Kong Beyond Vision 3.0” - Produced 70 pieces of visual information for Tactile Visual Vocabulary Systems (TVVS)- Completed the pilot testing of tactile teaching materials and TVVS at Ebenezer School and collected their feedback",- 與33間博物館/畫廊/文化機構接洽，推廣「觸感 — 聽覺」互動系統 (TAIS) 的使用及展出54件TAIS產品- 維持七間零售公司，共九個售賣點出售觸感印刷商品- 舉辦71場企業/社會意識/公眾工作坊/學校活動- 籌辦14場展覽/聯合展覽和六場講座，吸引逾9 000名參加者- 舉行四場多元感官營銷活動- 舉辦三次“Beyond Vision Awareness Month”和“Hong Kong Beyond Vision 3.0”- 製造70件「觸覺視覺詞彙系統」(TVVS)的視覺資訊 - 於心光盲人院暨學校完成觸感教學咭片及TVVS程式的試驗及收集他們的意見,- 与33间博物馆/画廊/文化机构接洽，推广「触感 — 听觉」互动系统 (TAIS) 的使用及展出54件TAIS产品- 维持七间零售公司，共九个售卖点出售触感印刷商品- 举办71场企业/社会意识/公众工作坊/学校活动- 筹办14场展览/联合展览和六场讲座，吸引逾9 000名参加者- 举行四场多元感官营销活动- 举办三次“Beyond Vision Awareness Month”和“Hong Kong Beyond Vision 3.0”- 制造70件「触觉视觉词汇系统」(TVVS)的视觉资讯 - 于心光盲人院暨学校完成触感教学咭片及TVVS程式的试验及收集他们的意见,438535,438535,438535,18.00,18.00,18.00,Completed,已完成,已完成,www.beyondvision.asia,www.beyondvision.asia,www.beyondvision.asia
